postalcode,placename,stateabbreviation,county,
61475,sciota,il,mcdonough,
61450,la harpe,il,hancock,
60924,cissna park,il,iroquois,
62358,niota,il,hancock,
61535,groveland,il,tazewell,
60918,buckley,il,iroquois,
61725,carlock,il,mclean,
61731,cropsey,il,mclean,
61431,ellisville,il,fulton,
61547,mapleton,il,peoria,
61550,morton,il,tazewell,
61470,prairie city,il,mcdonough,
60962,roberts,il,ford,
61748,hudson,il,mclean,
61729,congerville,il,woodford,
61733,deer creek,il,tazewell,
61553,norris,il,fulton,
60953,milford,il,iroquois,
61607,peoria,il,peoria,
61742,goodfield,il,woodford,
61753,lexington,il,mclean,
61641,peoria,il,peoria,
61610,creve coeur,il,tazewell,
61432,fairview,il,fulton,
61775,strawn,il,livingston,
61415,avon,il,fulton,
61611,east peoria,il,tazewell,
61454,lomax,il,henderson,
61605,peoria,il,peoria,
61569,trivoli,il,peoria,
61536,hanna city,il,peoria,
61531,farmington,il,fulton,
61602,peoria,il,peoria,
60968,thawville,il,iroquois,
61634,peoria,il,peoria,
61629,peoria,il,peoria,
61601,peoria,il,peoria,
61544,london mills,il,fulton,
61625,peoria,il,peoria,
61606,peoria,il,peoria,
61636,peoria,il,peoria,
61637,peoria,il,peoria,
61571,washington,il,tazewell,
61639,peoria,il,peoria,
61604,peoria,il,peoria,
60955,onarga,il,iroquois,
61603,peoria,il,peoria,
60974,woodland,il,iroquois,
61530,eureka,il,woodford,
61771,secor,il,woodford,
61473,roseville,il,warren,
61474,saint augustine,il,knox,
61633,peoria,il,peoria,
61738,el paso,il,woodford,
60928,crescent city,il,iroquois,
61613,peoria,il,peoria,
61744,gridley,il,mclean,
61518,brimfield,il,peoria,
61612,peoria,il,peoria,
61628,peoria,il,peoria,
61630,peoria,il,peoria,
61635,peoria,il,peoria,
61643,peoria,il,peoria,
61650,peoria,il,peoria,
61651,peoria,il,peoria,
61653,peoria,il,peoria,
61654,peoria,il,peoria,
61655,peoria,il,peoria,
61656,peoria,il,peoria,
61726,chenoa,il,mclean,
61739,fairbury,il,livingston,
61616,peoria,il,peoria,
60939,goodwine,il,iroquois,
60967,stockland,il,iroquois,
60921,chatsworth,il,livingston,
61741,forrest,il,livingston,
61480,stronghurst,il,henderson,
61425,carman,il,henderson,
60959,piper city,il,ford,
61478,smithshire,il,warren,
61460,media,il,henderson,
61632,peoria,il,peoria,
61644,peoria,il,peoria,
61615,peoria,il,peoria,
60938,gilman,il,iroquois,
61614,peoria,il,peoria,
61529,elmwood,il,peoria,
60970,watseka,il,iroquois,
61528,edwards,il,peoria,
61417,berwick,il,warren,
60966,sheldon,il,iroquois,
61548,metamora,il,woodford,
61458,maquon,il,knox,
61640,peoria,il,peoria,
61572,yates city,il,knox,
61561,roanoke,il,woodford,
61638,peoria,il,peoria,
61410,abingdon,il,knox,
61552,mossville,il,peoria,
60930,danforth,il,iroquois,
60945,iroquois,il,iroquois,
61516,benson,il,woodford,
61437,gladstone,il,henderson,
61517,brimfield,il,peoria,
61525,dunlap,il,peoria,
61471,raritan,il,henderson,
61418,biggsville,il,henderson,
61447,kirkwood,il,warren,
61562,rome,il,peoria,
61743,graymont,il,livingston,
61764,pontiac,il,livingston,
61436,gilson,il,knox,
61652,peoria,il,peoria,
60929,cullom,il,livingston,
61740,flanagan,il,livingston,
61545,lowpoint,il,woodford,
60911,ashkum,il,iroquois,
61769,saunemin,il,livingston,
61423,cameron,il,warren,
60931,donovan,il,iroquois,
61760,minonk,il,woodford,
61523,chillicothe,il,peoria,
60951,martinton,il,iroquois,
61559,princeville,il,stark,
61448,knoxville,il,knox,
61462,monmouth,il,warren,
60946,kempton,il,ford,
61570,washburn,il,marshall,
61489,williamsfield,il,knox,
61402,galesburg,il,knox,
61451,laura,il,peoria,
60927,clifton,il,iroquois,
61430,east galesburg,il,knox,
61469,oquawka,il,henderson,
61526,edelstein,il,peoria,
61401,galesburg,il,knox,
61321,dana,il,la salle,
61428,dahinda,il,knox,
60956,papineau,il,iroquois,
60912,beaverville,il,iroquois,
60934,emington,il,livingston,
60919,cabery,il,ford,
61358,rutland,il,la salle,
61435,gerlaw,il,warren,
61479,speer,il,stark,
61333,long point,il,livingston,
61369,toluca,il,marshall,
61541,la rose,il,marshall,
61565,sparland,il,marshall,
61453,little york,il,warren,
61540,lacon,il,marshall,
61488,wataga,il,knox,
60460,odell,il,livingston,
60920,campus,il,livingston,
60922,chebanse,il,iroquois,
61485,victoria,il,knox,
61439,henderson,il,knox,
61319,cornell,il,livingston,
61375,varna,il,marshall,
61311,ancona,il,livingston,
60917,buckingham,il,kankakee,
60941,herscher,il,kankakee,
60964,saint anne,il,kankakee,
61412,alexis,il,mercer,
61377,wenona,il,marshall,
61491,wyoming,il,stark,
60958,pembroke township,il,kankakee,5
61313,blackstone,il,livingston,
61476,seaton,il,mercer,
61424,camp grove,il,marshall,
61467,oneida,il,knox,
60420,dwight,il,livingston,
60910,aroma park,il,kankakee,
60961,reddick,il,kankakee,
61466,north henderson,il,mercer,
61483,toulon,il,stark,
61442,keithsburg,il,mercer,
60969,union hill,il,kankakee,
61449,la fayette,il,stark,
61472,rio,il,knox,
61537,henry,il,marshall,
61414,altona,il,knox,
61336,magnolia,il,putnam,
60901,kankakee,il,kankakee,
61426,castleton,il,stark,
61364,streator,il,la salle,
61334,lostant,il,la salle,
60915,bradley,il,kankakee,
60902,kankakee,il,kankakee,
60944,hopkins park,il,kankakee,
61332,leonore,il,la salle,
60470,ransom,il,la salle,
61421,bradford,il,stark,
60913,bonfield,il,kankakee,
60954,momence,il,kankakee,
60437,kinsman,il,grundy,
61434,galva,il,henry,
60914,bourbonnais,il,kankakee,
60935,essex,il,kankakee,
60474,south wilmington,il,grundy,
61335,mc nabb,il,putnam,
60424,gardner,il,grundy,
61490,woodhull,il,henry,
61413,alpha,il,henry,
61560,putnam,il,putnam,
61419,bishop hill,il,henry,
61465,new windsor,il,mercer,
61231,aledo,il,mercer,
61486,viola,il,mercer,
61272,new boston,il,mercer,
61260,joy,il,mercer,
60444,mazon,il,grundy,
60407,braceville,il,grundy,
61370,tonica,il,la salle,
61327,hennepin,il,putnam,
61325,grand ridge,il,la salle,
61443,kewanee,il,henry,
60940,grant park,il,kankakee,
60479,verona,il,grundy,
60950,manteno,il,kankakee,
61363,standard,il,putnam,
61468,opheim,il,henry,
61263,matherville,il,mercer,
61316,cedar point,il,la salle,
61326,granville,il,putnam,
60408,braidwood,il,will,
61340,mark,il,putnam,
60481,wilmington,il,will,
61262,lynn center,il,henry,
61368,tiskilwa,il,bureau,
61315,bureau,il,bureau,
61345,neponset,il,bureau,
60416,coal city,il,grundy,
61348,oglesby,il,la salle,
61233,andover,il,henry,
61276,preemption,il,mercer,
61281,sherrard,il,mercer,
61322,depue,il,bureau,
61238,cambridge,il,henry,
61314,buda,il,bureau,
61360,seneca,il,la salle,
61279,reynolds,il,rock island,
61362,spring valley,il,bureau,
61341,marseilles,il,la salle,
61354,peru,il,la salle,
60468,peotone,il,will,
61237,buffalo prairie,il,rock island,
61301,la salle,il,la salle,
60401,beecher,il,will,
61350,ottawa,il,la salle,
61320,dalzell,il,bureau,
61359,seatonville,il,bureau,
61356,princeton,il,bureau,
61373,utica,il,la salle,
61273,orion,il,henry,
61274,osco,il,henry,
61328,kasbeer,il,bureau,
61374,van orin,il,bureau,
60450,morris,il,grundy,
61379,wyanet,il,bureau,
61329,ladd,il,bureau,
61284,taylor ridge,il,rock island,
61259,illinois city,il,rock island,
61361,sheffield,il,bureau,
61234,annawan,il,henry,
61344,mineral,il,bureau,
61235,atkinson,il,henry,
60449,monee,il,will,
61337,malden,il,bureau,
60421,elwood,il,will,
61264,milan,il,rock island,
61317,cherry,il,bureau,
60442,manhattan,il,will,
60410,channahon,il,will,
61240,coal valley,il,rock island,
61323,dover,il,bureau,
60417,crete,il,will,
61232,andalusia,il,rock island,
60557,wedron,il,la salle,
60484,university park,il,will,5
61312,arlington,il,bureau,
61372,troy grove,il,la salle,
61338,manlius,il,bureau,
60447,minooka,il,grundy,
60475,steger,il,cook,
61254,geneseo,il,henry,
60431,joliet,il,will,
60466,park forest,il,cook,
60471,richton park,il,cook,
61239,carbon cliff,il,rock island,
60436,joliet,il,will,
61241,colona,il,henry,
61265,moline,il,rock island,
61201,rock island,il,rock island,
61371,triumph,il,la salle,
60549,serena,il,la salle,
61282,silvis,il,rock island,
60451,new lenox,il,will,
60404,shorewood,il,,
60411,chicago heights,il,cook,
60423,frankfort,il,will,
60443,matteson,il,cook,
61244,east moline,il,rock island,
60433,joliet,il,will,
61346,new bedford,il,bureau,
61236,barstow,il,rock island,
60551,sheridan,il,la salle,
60461,olympia fields,il,cook,
61299,rock island,il,rock island,
61258,hooppole,il,henry,
60434,joliet,il,will,
60541,newark,il,kendall,
60448,mokena,il,will,
61349,ohio,il,bureau,
61330,la moille,il,bureau,
60432,joliet,il,will,
61376,walnut,il,bureau,
60422,flossmoor,il,cook,
61342,mendota,il,la salle,
60435,joliet,il,will,
60425,glenwood,il,cook,
61204,rock island,il,rock island,
61206,rock island,il,rock island,
61266,moline,il,rock island,
60430,homewood,il,cook,
61256,hampton,il,rock island,
60537,millington,il,kendall,
60487,tinley park,il,,
60478,country club hills,il,cook,
60586,plainfield,il,,
60438,lansing,il,cook,
60476,thornton,il,cook,
60429,hazel crest,il,cook,
60483,tinley park,il,,
60477,tinley park,il,cook,
60518,earlville,il,la salle,
61278,rapids city,il,rock island,
60536,millbrook,il,kendall,
61257,hillsdale,il,rock island,
60441,lockport,il,will,
60473,south holland,il,cook,
60428,markham,il,cook,
60544,plainfield,il,will,
61275,port byron,il,rock island,
60467,orland park,il,cook,
60491,homer glen,il,will,
60531,leland,il,la salle,
60452,oak forest,il,cook,
60426,harvey,il,cook,
60409,calumet city,il,cook,
60462,orland park,il,cook,
60419,dolton,il,cook,
60469,posen,il,cook,
61277,prophetstown,il,whiteside,
61243,deer grove,il,whiteside,
61367,sublette,il,lee,
60445,midlothian,il,cook,
60548,sandwich,il,dekalb,
60552,somonauk,il,dekalb,
60560,yorkville,il,kendall,
60446,romeoville,il,will,
60472,robbins,il,cook,
60627,riverdale,il,,
60827,riverdale,il,cook,
61283,tampico,il,whiteside,
60585,plainfield,il,,
61250,erie,il,whiteside,
60406,blue island,il,cook,
60463,palos heights,il,cook,
60464,palos park,il,cook,
60633,chicago,il,cook,
60545,plano,il,kendall,
60658,chicago,il,,
60803,alsip,il,cook,
60490,bolingbrook,il,will,
60543,oswego,il,kendall,
61318,compton,il,lee,
61353,paw paw,il,lee,
60482,worth,il,cook,
61242,cordova,il,rock island,
60628,chicago,il,cook,
60655,chicago,il,cook,
61042,harmon,il,lee,
60440,bolingbrook,il,will,
60643,chicago,il,cook,
60465,palos hills,il,cook,
60512,bristol,il,kendall,
60415,chicago ridge,il,cook,
60564,naperville,il,will,
61310,amboy,il,lee,
60439,lemont,il,dupage,
60453,oak lawn,il,cook,
60538,montgomery,il,kendall,
60503,aurora,il,,
61261,lyndon,il,whiteside,
60805,evergreen park,il,cook,
60617,chicago,il,cook,
60457,hickory hills,il,cook,
61251,fenton,il,whiteside,
61378,west brooklyn,il,lee,
60456,hometown,il,cook,
60565,naperville,il,dupage,
60480,willow springs,il,cook,
60620,chicago,il,cook,
60455,bridgeview,il,cook,
60561,darien,il,dupage,
60458,justice,il,cook,
60459,burbank,il,cook,
60527,willowbrook,il,cook,
60652,chicago,il,cook,
60619,chicago,il,cook,
61331,lee center,il,lee,
60556,waterman,il,dekalb,
60517,woodridge,il,dupage,
60504,aurora,il,dupage,
60505,aurora,il,kane,
60511,big rock,il,kane,
60516,downers grove,il,dupage,
60649,chicago,il,cook,
60550,shabbona,il,dekalb,
61230,albany,il,whiteside,
60540,naperville,il,dupage,
60506,aurora,il,kane,
61071,rock falls,il,whiteside,
60520,hinckley,il,dekalb,
61324,eldena,il,lee,
60559,westmont,il,dupage,
60554,sugar grove,il,kane,
60621,chicago,il,cook,
60636,chicago,il,cook,
60519,eola,il,dupage,
60629,chicago,il,cook,
60501,summit argo,il,cook,
60637,chicago,il,cook,
60638,chicago,il,cook,
60525,la grange,il,cook,
60502,aurora,il,,
60532,lisle,il,dupage,
60530,lee,il,lee,
61037,galt,il,whiteside,
60563,naperville,il,dupage,
60514,clarendon hills,il,dupage,
61058,nelson,il,lee,
60521,hinsdale,il,dupage,
60615,chicago,il,cook,
60515,downers grove,il,dupage,
60558,western springs,il,cook,
61081,sterling,il,whiteside,
60542,north aurora,il,kane,
60632,chicago,il,cook,
60609,chicago,il,cook,
60006,arlington heights,il,cook,
60009,elk grove village,il,cook,
60065,northbrook,il,cook,
60078,palatine,il,cook,
60094,palatine,il,cook,
60095,palatine,il,cook,
60159,schaumburg,il,cook,
60161,melrose park,il,cook,
60168,schaumburg,il,cook,
60204,evanston,il,cook,
60303,oak park,il,cook,
60412,chicago heights,il,cook,
60454,oak lawn,il,cook,
60499,bedford park,il,cook,
60663,chicago,il,cook,
60664,chicago,il,cook,
60665,chicago,il,cook,
60667,chicago,il,cook,
60668,chicago,il,cook,
60669,chicago,il,cook,
60670,chicago,il,cook,
60671,chicago,il,cook,
60672,chicago,il,cook,
60673,chicago,il,cook,
60674,chicago,il,cook,
60675,chicago,il,cook,
60677,chicago,il,cook,
60678,chicago,il,cook,
60680,chicago,il,cook,
60681,chicago,il,cook,
60683,chicago,il,cook,
60684,chicago,il,cook,
60685,chicago,il,cook,
60687,chicago,il,cook,
60690,chicago,il,cook,
60691,chicago,il,cook,
60694,chicago,il,cook,
60697,chicago,il,cook,
60699,chicago,il,cook,
60701,chicago,il,cook,
60534,lyons,il,cook,
61270,morrison,il,whiteside,
60653,chicago,il,cook,
60513,brookfield,il,cook,
60539,mooseheart,il,kane,
60555,warrenville,il,dupage,
61057,nachusa,il,lee,
60526,la grange park,il,cook,
60402,berwyn,il,cook,
60682,chicago,il,,
60523,oak brook,il,dupage,
60804,cicero,il,cook,
60546,riverside,il,cook,
60105,bensenville,il,dupage,
60114,addison,il,dupage,
60116,carol stream,il,dupage,
60117,bloomingdale,il,dupage,
60125,carol stream,il,dupage,
60128,carol stream,il,dupage,
60132,carol stream,il,dupage,
60138,glen ellyn,il,dupage,
60186,west chicago,il,dupage,
60189,wheaton,il,dupage,
60197,carol stream,il,dupage,
60198,carol stream,il,dupage,
60199,carol stream,il,dupage,
60403,crest hill,il,,
60522,hinsdale,il,dupage,
60566,naperville,il,dupage,
60567,naperville,il,dupage,
60570,hinsdale,il,dupage,
60572,aurora,il,dupage,
60598,aurora,il,dupage,
60599,fox valley,il,dupage,
60616,chicago,il,cook,
60650,cicero,il,,
60553,steward,il,lee,
61021,dixon,il,lee,
60510,batavia,il,kane,
60623,chicago,il,cook,
60608,chicago,il,cook,
61252,fulton,il,whiteside,
60154,westchester,il,cook,
60155,broadview,il,cook,
61031,franklin grove,il,lee,
60141,hines,il,cook,
61006,ashton,il,lee,
60137,glen ellyn,il,dupage,
60696,chicago,il,,
60605,chicago,il,cook,
60148,lombard,il,dupage,
60607,chicago,il,cook,
60187,wheaton,il,dupage,
60688,chicago,il,,
60162,hillside,il,cook,
60304,oak park,il,cook,
60130,forest park,il,cook,
60190,winfield,il,dupage,
60689,chicago,il,,
60686,chicago,il,,
60604,chicago,il,cook,
60153,maywood,il,cook,
60603,chicago,il,cook,
60181,villa park,il,dupage,
60624,chicago,il,cook,
60612,chicago,il,cook,
60661,chicago,il,cook,
60119,elburn,il,kane,
60104,bellwood,il,cook,
60602,chicago,il,cook,
60644,chicago,il,cook,
60695,chicago,il,,
60601,chicago,il,cook,
60134,geneva,il,kane,
60606,chicago,il,cook,
60185,west chicago,il,dupage,
60301,oak park,il,cook,
60163,berkeley,il,cook,
60654,chicago,il,cook,
60302,oak park,il,cook,
60126,elmhurst,il,dupage,
60305,river forest,il,cook,
60611,chicago,il,cook,
60160,melrose park,il,cook,
60115,dekalb,il,dekalb,
60642,chicago,il,cook,
60622,chicago,il,cook,
60651,chicago,il,cook,
60165,stone park,il,cook,
61017,coleta,il,whiteside,
61091,woosung,il,ogle,
60610,chicago,il,cook,
60182,virgil,il,kane,
60158,carol stream,il,,
60251,palatine,il,,
60351,carol stream,il,,
60353,carol stream,il,,
60188,carol stream,il,dupage,
60150,malta,il,dekalb,
60174,saint charles,il,kane,
60639,chicago,il,cook,
60139,glendale heights,il,dupage,
60647,chicago,il,cook,
60164,melrose park,il,cook,
60635,elmwood park,il,,
60614,chicago,il,cook,
60151,maple park,il,kane,
60707,elmwood park,il,cook,
60112,cortland,il,dekalb,
60171,river grove,il,cook,
61068,rochelle,il,ogle,
60113,creston,il,ogle,
60101,addison,il,dupage,
60131,franklin park,il,cook,
60568,aurora,il,kane,
60144,kaneville,il,kane,
60147,lafox,il,kane,
60183,wasco,il,kane,
60507,aurora,il,kane,
60133,hanover park,il,dupage,
60657,chicago,il,cook,
60641,chicago,il,cook,
60634,chicago,il,cook,
60618,chicago,il,cook,
60175,saint charles,il,kane,
60108,bloomingdale,il,dupage,
60106,bensenville,il,dupage,
60184,wayne,il,dupage,
60613,chicago,il,cook,
60399,wood dale,il,,
60398,franklin park,il,,
60176,schiller park,il,cook,
60191,wood dale,il,dupage,
60290,chicago,il,,
60706,harwood heights,il,cook,
61051,milledgeville,il,carroll,
60666,amf ohare,il,cook,
60630,chicago,il,cook,
60625,chicago,il,cook,
60157,medinah,il,dupage,
60640,chicago,il,cook,
60143,itasca,il,dupage,
60656,chicago,il,cook,
60103,bartlett,il,cook,
60172,roselle,il,dupage,
61285,thomson,il,carroll,
61064,polo,il,ogle,
60660,chicago,il,cook,
60178,sycamore,il,dekalb,
60646,chicago,il,cook,
61015,chana,il,ogle,
60631,chicago,il,cook,
61014,chadwick,il,carroll,
60177,south elgin,il,kane,
60659,chicago,il,cook,
60007,elk grove village,il,cook,
60712,lincolnwood,il,cook,
60111,clare,il,dekalb,
60645,chicago,il,cook,
60626,chicago,il,cook,
61061,oregon,il,ogle,
60068,park ridge,il,cook,
61045,kings,il,,
60193,schaumburg,il,cook,
60018,des plaines,il,cook,
60107,streamwood,il,cook,
60129,esmond,il,dekalb,
60019,des plaines,il,cook,
60170,plato center,il,kane,
60799,chicago bmc,il,,
60017,des plaines,il,cook,
60194,schaumburg,il,cook,
60124,elgin,il,,
60202,evanston,il,cook,
60648,chicago,il,,
60714,niles,il,cook,
60077,skokie,il,cook,
60076,skokie,il,cook,
60123,elgin,il,kane,
60120,elgin,il,kane,
60121,elgin,il,kane,
60053,morton grove,il,cook,
61043,holcomb,il,ogle,
60109,burlington,il,kane,
60016,des plaines,il,cook,
61054,mount morris,il,ogle,
60203,evanston,il,cook,
60169,hoffman estates,il,,
60209,evanston,il,cook,
61049,lindenwood,il,ogle,
60201,evanston,il,cook,
60196,schaumburg,il,cook,
60029,golf,il,cook,
60173,schaumburg,il,cook,
60208,evanston,il,cook,
60056,mount prospect,il,cook,
60005,arlington heights,il,cook,
60122,elgin,il,kane,
60008,rolling meadows,il,cook,
60025,glenview,il,cook,
60195,schaumburg,il,cook,
60091,wilmette,il,cook,
60179,hoffman estates,il,cook,
60140,hampshire,il,kane,
60043,kenilworth,il,cook,
60026,glenview nas,il,cook,
60192,schaumburg,il,cook,
61046,lanark,il,carroll,
61074,savanna,il,carroll,
60118,dundee,il,kane,
60693,chicago,il,cook,
61020,davis junction,il,ogle,
60038,palatine,il,cook,
60055,palatine,il,cook,
60135,genoa,il,dekalb,
60136,gilberts,il,kane,
60146,kirkland,il,dekalb,
61052,monroe center,il,ogle,
61053,mount carroll,il,carroll,
60093,winnetka,il,cook,
60145,kingston,il,dekalb,
60070,prospect heights,il,cook,
60004,arlington heights,il,cook,
60067,palatine,il,cook,
60082,techny,il,cook,
61084,stillman valley,il,ogle,
61030,forreston,il,ogle,
60110,carpentersville,il,kane,
60062,northbrook,il,cook,
61010,byron,il,ogle,
60022,glencoe,il,cook,
60090,wheeling,il,cook,
60074,palatine,il,cook,
61047,leaf river,il,ogle,
60089,buffalo grove,il,lake,
61078,shannon,il,carroll,
60010,barrington,il,lake,
60102,algonquin,il,mchenry,
60063,deerfield,il,,
60015,deerfield,il,lake,
60142,huntley,il,mchenry,
60035,highland park,il,lake,
61007,baileyville,il,ogle,
60021,fox river grove,il,mchenry,
60156,lake in the hills,il,mchenry,
60069,lincolnshire,il,lake,
60049,long grove,il,lake,
60040,highwood,il,lake,
60037,fort sheridan,il,lake,
60180,union,il,mchenry,
60047,lake zurich,il,lake,
61109,rockford,il,winnebago,
61039,german valley,il,stephenson,
60013,cary,il,mchenry,
61016,cherry valley,il,winnebago,
60061,vernon hills,il,lake,
60014,crystal lake,il,mchenry,
61077,seward,il,winnebago,
60045,lake forest,il,lake,
60152,marengo,il,mchenry,
61112,rockford,il,winnebago,
61038,garden prairie,il,boone,
61108,rockford,il,winnebago,
61102,rockford,il,winnebago,
61104,rockford,il,winnebago,
61041,hanover,il,jo daviess,
61008,belvidere,il,boone,
61062,pearl city,il,stephenson,
60060,mundelein,il,lake,
60084,wauconda,il,lake,
60012,crystal lake,il,mchenry,
61088,winnebago,il,winnebago,
60042,island lake,il,lake,
61107,rockford,il,winnebago,
60048,libertyville,il,lake,
60044,lake bluff,il,lake,
61101,rockford,il,winnebago,
61032,freeport,il,stephenson,
61067,ridott,il,stephenson,
61103,rockford,il,winnebago,
60088,great lakes,il,lake,
61063,pecatonica,il,winnebago,
61028,elizabeth,il,jo daviess,
61044,kent,il,stephenson,
61114,rockford,il,winnebago,
60098,woodstock,il,mchenry,
60011,barrington,il,lake,
60075,russell,il,lake,
60079,waukegan,il,lake,
60092,libertyville,il,lake,
60064,north chicago,il,lake,
60001,alden,il,mchenry,
60039,crystal lake,il,mchenry,
61079,shirland,il,winnebago,
61105,rockford,il,winnebago,
61106,rockford,il,winnebago,
61110,rockford,il,winnebago,
61125,rockford,il,winnebago,
61126,rockford,il,winnebago,
61130,loves park,il,winnebago,
61131,loves park,il,winnebago,
61132,loves park,il,winnebago,
61111,loves park,il,winnebago,
60050,mchenry,il,mchenry,
61027,eleroy,il,stephenson,
60296,mchenry,il,,
60297,mchenry,il,,
61085,stockton,il,jo daviess,
60030,grayslake,il,lake,
60051,mchenry,il,mchenry,
60085,waukegan,il,lake,
61115,machesney park,il,winnebago,
61076,scioto mills,il,stephenson,
61065,poplar grove,il,boone,
60041,ingleside,il,lake,
60073,round lake,il,lake,
60031,gurnee,il,lake,
61013,cedarville,il,stephenson,
61048,lena,il,stephenson,
60046,lake villa,il,lake,
61011,caledonia,il,boone,
60097,wonder lake,il,mchenry,
60020,fox lake,il,lake,
60087,waukegan,il,lake,
61018,dakota,il,stephenson,
60072,ringwood,il,mchenry,
61012,capron,il,boone,
61070,rock city,il,stephenson,
61036,galena,il,jo daviess,
61073,roscoe,il,winnebago,
60033,harvard,il,mchenry,
61050,mc connell,il,stephenson,
60086,north chicago,il,lake,
61024,durand,il,winnebago,
60081,spring grove,il,mchenry,
61019,davis,il,stephenson,
60080,solon mills,il,mchenry,
60099,zion,il,lake,
60083,wadsworth,il,lake,
61072,rockton,il,winnebago,
61059,nora,il,jo daviess,
60034,hebron,il,mchenry,
60002,antioch,il,lake,
60071,richmond,il,mchenry,
61001,apple river,il,jo daviess,
61075,scales mound,il,jo daviess,
61060,orangeville,il,stephenson,
60096,winthrop harbor,il,lake,
61080,south beloit,il,winnebago,
61089,winslow,il,stephenson,
61025,east dubuque,il,jo daviess,
61087,warren,il,jo daviess,
